mm,vv,nn,tt
2.98,0.15,43,0
2.67,0.66,48,1272
1.95,0.84,41,2201
1.70,0.79,46,3129
1.23,0.66,48,4073
1.13,0.52,67,5730
1.00,0.49,42,6826
1.44,0.67,32,8501
1.49,0.70,35,9543
1.24,0.44,21,10583
1.27,0.58,41,11591
0.93,0.33,46,13063
1.21,0.59,47,14645
1.02,0.41,55,15663
0.79,0.41,55,16637
