mm,vv,nn,tt
4.79,0.57,0.656,0
3.81,0.57,0.9,1272
3.24,0.45,0.925,2201
3.15,0.66,0.802,3129
2.5,0.38,0.583,4073
2.42,0.55,0.686,5960
2.41,0.51,0.637,6826
2.5,0.36,0.63,8501
2.58,0.37,0.663,9543
2.5,0.42,0.598,10583
2.35,0.38,0.633,11597
1.95,0.53,0.532,12609
1.93,0.40,0.64,13063
2.35,0.35,0.893,14645
1.89,0.49,0.543,15663
1.96,0.21,0.751,16637
