mm,vv,nn,tt
21.56,1.19,25,1993
21.68,1.22,50,1994
21.22,1.49,50,1995
21.56,1.43,50,1996
20.90,1.17,51,1997
21.54,1.40,50,1998
21.06,1.22,50,1999
21.12,1.15,50,2000
21.12,1.39,50,2001
21.10,1.34,50,2002
20.94,1.35,50,2003
20.92,1.12,50,2004
20.98,1.33,50,2005
20.66,1.19,50,2006
20.88,1.24,50,2007
20.76,1.04,50,2008
20.66,1.42,50,2009
20.78,1.28,50,2010
20.82,1.27,50,2011
20.92,1.14,50,2012
20.84,1.09,50,2013
20.34,1.41,50,2014
21.02,1.33,50,2015
20.36,1.43,50,2016
20.80,1.32,50,2017
