mm,vv,nn,tt
0.79,0.451,61,0
0.63,0.486,60,5317
0.06,0.24,50,9950
0.34,0.937,75,15182
0.06,0.357,85,19318
0.14,0.454,72,25551
0.07,0.344,107,30541
0.30,0.46,74,34030
0.81,0.519,70,41008
0.77,0.449,80,50629
0.45,0.503,51,55246
0.88,0.331,57,60239
0.92,0.271,76,65312
1.09,0.288,45,70119
1.12,0.431,51 75075
0.95,0.283,73,81150
1.12,0.666,60,86454
1.24,0.511,107,92006
1.31,0.636,108,96659
1.40,0.715,83,101306
1.15,0.415,52,106969
